name,text
X51005255805,"*TEU/FAX 4 £ Ovstaigaei we PE
681 NO: 001006288096... woe

"
X51005268200,
X51005268262,
X51005268400,"SEL

peneaauaresscteaax

"
X51005268472,
X51005301659,
X51005301661,"PINS 2PCS;
HUNT:

"
X51005301667,
X51005303661,"PINS 2PCS;
HUNT:

"
X51005306399,"3 180048

Snell [SNE PETPO TRADING
Conpany o.002543278-a

COT 268$ JLN CENTING CLARE
$3300 cL Sits 1088
ieledhons 03- 40212008
EST fo. GO10 $010 4346

D> >r >>> Recsint Peecee rd
invoice nunber. £0000053663

$.10 letre Puap § 02
¥-Pover 9? an 86 OO A
2450 anf Liles

Totul en 86.09
Visa eH 86.60
6.205 691 A @n gr
Total Cress ARN 36.00
Snell Loyalty Card
601884019630 614
Points Avarded. 3$

Date Tine Hen CPT
48/09218 15:47 06951 02

Diesel & Petrol RON 95
given Roliel under Section
6 13) (a) CST Act 2048

Thaak you
Pleasae Cone Again
"
X51005337872,"SYL ROASTED DELIGHTS SON. BHO.
122703 ¢
75, JALAN SS 22/15, DANANSARA JAVA 47459 PY
TEL : 03-7731 8169
Gat IO. 092946300272

Meche ; $OC0022185 TABLE Alo

Cashie:: USER Date: 08032018
Salescerson Time; 120805
Description ________ Gly, Price Amount

(162) BRAISED PORK 20 71400
RICE “nied PEANUT

(Pee TT PORK - 1a 1200 1209
SMALL

(VOz) SOUR & SHCY 4.0 12,00 12.50
NUSTARD

(803) JASMINE GREEN 20 2230 4.60
TEALHOT)

(ROK) ROAST PORK «+ 10 11.99 11.69
ROAST CHICKEN RICE

Total Qty. 7 ST ae

Terai Sales (Exctuamy GST) : §1,42
Discount : 0.00
TotalGST : 308
Reunding « 0.00

Total Salos (Inclusive of GST) 6.4.6
"
X51005361883,"TOTAL

ce.

sania DARUILEHSAN © G)-
TEL 03-3271, hee “03:327) 340.
'GST.Nov: 000889913856
= ES ROD TEIN VOLT,
a, t ; “yr r
CASH

ReedgiptiNo. s CS1801/26874, “Date: 18/01/2078;

trem Ory wR viscy “MOUNT

9587088000035 t 3150 569 3:30.
< JIANYU STELL, RULER 30CM THICK’

1 fF 1.30 0700 1:30
* LAMINATE FILM

SUB-TOTAL (5X) 4:60
TOTAL“£AX : » 0.28
-ROUNDING' : 0:02
TOTAL : 4.90
CAS 4.90
CHANGE : 0.00

GST SUMMARY |

BEX CTT 7 AMOUNT TAN
TAN CODE. 9%: MRD

4.60. 0.28:

460 0.28

Note:'(‘)Indicated-The Item Sola: ‘Has Been Related
‘TO GST (G00dS:&:Sarvices: Tay).
GOODS SOLD ARE NOT RETURNABLE..
THANK YOU..
"
X51005361895,"cugran

BR * 0198 aap 8
vee »
“4 SS RUAtA SELANGS ey /).

0373229 1851,
GST No. 001602:

“Semin eae
TAX INVOICE
TRN: 1 CROS76494.

‘COUNTER’4 CASHIER: HOCK

‘ty: UOM U.Price Amt: Amt, Ing. Tax: Code
013: SUMMER CUP: 48X230ML

1 KOTARB.49 8.49 9:00 SR

GST 6%'+ 0:57

seal yas TT B86
Total Includes GST 6% 9.00
‘Customers Payment:

Cash 50.00
Change 41.00
GST Summary Amount Tax.

*Goods sold are‘not returnable.
Thank, you'for ‘shopping: ‘at FUY! MINI
MARKET
"
X51005361897,"|
t

p= ———— FD
TEC HENG ‘STATIONERY. & BOOKS

(001451637-M),
NO: 53; 1ALAN-BESAR,45600, BATANG BERJUNTAL
SELANGOR OARUI EHSAN
TEL: 03:327) 9872 FAX 09.9271°9481'
GST No..: 000689913856

SINIDAII LED TAS INYO DIG,

CASH

endipiNo.e CStant/26e21 Dates 17/01/2018 —

HY AMOUNT
err Ut DISC “RID. i

Ge65017370007. 1 2800 714 26:00»
~ LION FIE,220°307: LAMINATING-FILM.

A ace gree

Foal Oye 7 7, OO 26.00

SUBITOTAL GixX) : ""(26.00
TOTAL TAX: i 1:56
ROUNDING : -0.04

TORAL 9 | DER CS :

‘CASH

2
CHANGE a 17° YAN 2aia

aavrone es AMOUNT. —_ TAX,

JAROODE 8 (RM) RMD
SR. 6.00 26:00 1.56

‘TOTAL : 26.00 4:56

Note: (*) Indicated The:itém Sold Has: Been. Related,
To: GST. (Goods &. Services Tax)..

GOODS'SOLD'ARE NOT RETURNABLE,
THANK YOU:

"
X51005361898,"“TED HENG: STATIONERY G BOOKS '

‘(001451837-M) :
NOL 53): JAAN OESAR, 48600. BATANG. ‘SERIUNTAL
SELANGOR DARUL EHSAN |
Teas: 19271 9672 FAX 1.03: 327) 9481
GST'No,; 0006899 13856 ; . 7

ASIN — i
ReceiplNo.e ‘©$1801/26717 ‘Date: 15/01/2018
a ae Ta pperge AMOUNT: /
EINE PISCR. (aso)
9656655864036 9-7 «26.42 914 (24.00%
-'CBE BADGE. CLIP-100PCS
9555535000663 =. 28.00 0:00. 28.00’ “
-NISO:AG LAMINATING FILM:
Toul Quy. r 7 62.00. a
SUB-TOTAL (EX): & 52.00:
TOVAL TAX, 3.72.
ROUNDING. :
LOTAT,
CASH /¢-
CHANGE —
| -
I
_GST SUMMARY} |
“COD k AMOUN® TAX.
SR 6:00 52:00 3:12!
TOTALS $200 842.
Nole::(*) ladicaled The Item, Sold Has:Been Related
To GST (Goods: Be Services'Tax):
‘GOODS SO1.O-ARE NOT RETURNABLE,
“THANK YOU,

"
X51005361900,"(001461 637-m)
NO, 53, JALAN BESAR, 45800, BATANG DERJUNTAI
SELANGOR OARUL EHSAN
“TEs 03-3271 9872: FAX :,03:3271 7481
‘GST No: : 000689913856:

— PSP iia AN
CASH

eset ©$1801/27037 Date 23/01/2018"" | |
|

TED HENG STATIONERY & BOOKS } :
| ,

p24 an “432, 0:00 660s
~'DOUBLE SIDED TISSUE:TAPE. 18MM

‘9557540631903 a 2,08, 0.00 10 385

T 0 t ‘AL

CASH /48.00

CHANGE 0.00

TAXCODE —% “aNgNe jax |
j —————— |

SR 6.00 46:98 1,02

TOTAL: —_ 16:98 ""402 |

Note: (*) indicated The item Sold, Has: Been. Related:
ToGST (Goods & Services Tax).

GOODS: SOLD ARE'NOT RETURNABLE,
THANK YOU:

"
X51005361907,"TQ HENG STATIONERY § BOOKS

GST No. : 000689913656

SAIANG Ele ntal

BAL Sea ¢ hag Oo

» PAPYRUS DARK COLOUR PAPER

487 SSPRQN ' 270 2o8 270.
~ ARTLINE Jo
She ; O83 goc C85.
1006
DOG 6ao,
+ CBE Ad SIZE 20 POCKETS REFILLABLE NEW
CLEAR HOLOER
‘ ? o 7.92 «

- EAGLE Fé 120 NUMBERING FOOLSCAP
BOOK

TOTAL, OF a.” Nes 46
CASH “a /,

CHANGE SA: ~~ 0.00

| GST SUMMARY

Lae

SONS Se

"
X51005361946,"oe
ou

ard

Rey

wats
oe a]

"
X51005361950,"99 SPEED HaRT SR By, ge’ y

LOT Pa.

. 1076-1 10K “
6ST “ID. NO: ooone14778D a
INVOICE ‘NOs 18287/102/T0049

. |

NOs43AH 568582. age oie |
|

|

1973 GARBAGE. Bag (BLUE) 74¢ RAL S
1974: GARBAGE BAG: (GREER): 4 RHI. 2S>s
Total Sales. (Inclusive. 6ST) RH. 2.50

; CASH RH: §.00° }

‘CHANGE’ RM 2650,

WP ae Boren ne cS ]
GST Summary —Raount (RH) Tax(RH)
3 * by tg

Thank You.. Please: cObé. again
Keep the invoice. for applicable: returas.
"
X51005365179,"3-1707067

(481500-M)
Cc Ww KHOO HARDWARE SDN BHD

. rarwey
LIMA

"
X51005433492,"2

Pier ro ena.
Hythe tere a
rser da

ine Cartoon Sor ot ees Te Maas

ater

Sood te Sh

a

MAS DCA ME BUDE Gor Peete tac
Sear]

1m dyn?

one nS te

"
X51005433494,"ft ORY .
a0} ree

EE + 0

TRAE

ter <i eh BA

fay

os

schyegie daleey

"
X51005433514,"CAA DE EAHA PAT §
ae BEbE RT EE
aie nt

2 tg? oem ThA weet Peak sian
tes
lesa,

hale a hist eens

war «

Yh optim St
Feet ict

She ed Tee

Foe li nae
"
X51005433522,"juste
Feat aad et 9 we ow

Gergen ETI Tita bah
Pedi nant

Seine PGEE LG ert

tent

QTR be aint
ewe edie
Tee oi Fine Ge

Feat

om Ge

"
X51005433533,"pd
et
SPAS 5
tisk
Ans

fe, emt t
TAN ARR EE Ph ot
at
if gusatruy Or TOR Te
eent Preis

Seo WED RE

Ugg ed ENTRAR EN TSM T ys
t edt ee
ghel t

Rogeniang [AMD
Teta (AM 2 SILAS

casie i
Shazape (RANEY

GST SUMITAR YT

GF Fey Dh OT

SAO,

we eR TL,
"
X51005433538,"ROOT

ea V5 Azar, OOP ol
Pwo Bad,
Popes

HLF EAS newb wie dcne

Tad tear 78
Bee guna tat
sent Sonth

ated
ET i

haa, aces THE QU ttt
We when 26
oH Caren tah
ARS ONE Fine Be te Peer

Peete tens Meee ey

"
X51005433541,"heme 800

BR atten

va) : sha

ae teat
wast in

Agr tga Mateaiea he
tardies ak

"
X51005433552,"Neer

OIL LET at

ot

Sade iumenees
diafers muaitiaa’
viteese, falas

SUEY

fas
fhe ts

ble Bo Les

tomas ""RM $7.60 ,
"
X51005433553,"TAK 1

yuewend 5

Tomy aeyhane,

"
X51005441398,"BREWERY TAP
GQuner by Castle Blue S/B
(1635$83~T)
GST No + 02168047360
Avtivo Piaza,Lot B-F-11, Bleck Bo
Hat Jalan PIU 9/1,D' sara Avevue
Bandar Sri D'sara, $28¢0 IL
FEL: #603-62629219

& GUEST CHECK §
Table Ho: D@S

Order Noo: 11889

Date : 36/03/2018 & S:13 PA
Cashier  ; GROEK LOGIN

Waiter : Harry ,Paing

FRY Gu + 30/93/2018 11:18 PH

84% Dine In i884
1 Tiger 2 Qucket - HH 95.00 SR
2 Tiger Bucket- HH

1 Chicken wings 22,03 SR
{ French Fries 12.09 SF
1! Tiger Bucket- HY $6.80 SR
4 Sublota) 179.66
GST 268: 10,74
Rounding Adj 0.9}
Het Total {69.75
- €89 56/03/2018 Visit Pa gat --
Tax Susaary Ancunt Tax
SR: GST 8% 179.08 16.74

THANY (OU, FLEASE CGME ACAII
Goods Sold Are Hon Refundeble

ra
"
X51005441401,", THREE STOOGES
~ BISIRO 4 CAFE
108, SS2i/la,
DAMANSARA UTAMA

SST iO : CO1E5 1885464

hE : BAR 7
MOR : 00012916

"" 12/03/2018 10:25:48 PH ky

1 oe GuINESS 12 GLASSES 180.00
tM TIGER 12 GLASSES 148.00
2 SUB TOTAL 238.00
SERVICE CHARSE 16% 2.50
GSi 6% 18.47
ROUNDING AD! -0.02

. ~_ aA
Li TOLAL wee 93.5.

SAMA L AOU Tes
CRC. Canis I 285.00 7 0
SR GS) as 324.50

Thark toa ede oe Ager.
"
X51005441402,"THREE STOOGES
BISTRO & CAFE
109, SS2i/1A,
QAMANSARA UTAHA
SST 10 : 001881685464

TAX INVOICE
TABLE

Wes: POSO1/O000 lzar3
[IW DATE: 03/03/2018
CASHIER: CASHIER

Inv OT: 03/03/2613 10:58:51 2H ft
CTY ITE AA

SUB TOTAL 184.69
SERVICE CHARGE 10% 1s)
GST ES

oxy CE]
CHANGE 5.10

fax Summary émount Tax
SvC SERVICE CHARGE 10 = 180.00 18.00
Sk GST 6s 16.00 $.90

Thank You. Plz Come Again
"
X51005441407,"Geoventure
Taste Of Tha World Sdn Bhd
96585/-A
Lot 28. 39 1Ob Boulevard.
walen Kener 9. Baedar Puchong Jaya.
“F7IG Puchang.- Selangor. lL ,
TEL: O3 ~ 8079 0255
GSi REG KO; GO136$77074
RESERVATION NO: O10 - 7745055
SIMPLIFIED TAX INVOICE

Invoice - 581355. Cashier NIKI
70S Hort Por ° 0
Date © 84342018 22.52 35
Table No : C38

Atty an

5 Tiger Bucket
GIGO2 H 5.60 0-0 = §8 JO

S$  Servica Ghrgtinel GSI 64} RUS 83

Total Salas{Iinel. GST 6s} RY O48 13
Rounding Adjustecnat . Rut G. 92

TOTAL RM 64.15
CASH RM 100. 00

CHANGE RM 35. 85

Vain tea Count

total Discount Ru 0 09
6st Suro: ¥ Amount (RID Toa ‘eas
s os 60. 50 3. oF
2 oO 9.30 G 00

K
"
X51005441408,"32 PUB & BISTRO own by CHU TRADING
78G, JALAN 9821/62.
CAMAKSARA UTAMA,
47400 PETALING JAYA,
(GSi Reg. No : 000416321835)...

“Tax Ave ice
Table 5

IW No, 504233 Pax(s): 0
> 16-03-2018 23:03:06
rt ORE,

Descr lotion ‘aty U.peice total TA:
IE INEKEN (5 QTL)

2 x &. 00 190.G0 SR
Total (Excluding sn): t%. 2S
GST Payahle: 10. 75
Total Circiusive of GSi):

TOTAL:

Clesed: 32 14-03- 2018 09:32: 02
Server: CHEM

CASH : 203. 09
CHANGE : 10. 63
GST Sunsary ncunt (34) Tax (RH)
SR {@ 6X) ras: 10. Tg

K

wesw [hank You ""sa

1S OQ aenn Bren Anata
"
X51005442327,"Shinehd 158, auld bas
We VE gt *
for Foe ip

Vga we Soon i Lo! wena.

bint esti

seer HET
Dae in

Prtte nee

Peal 1 Siew a fot
he wif Pine de is te

for etn ait a

"
X51005442333,"x RASTA gs FPA AAS SEE toy
tite
ees

Fie Panny ff me hs

Fao ALES eae

pono # re MERE IT

iy detent Bt,
Gre: tat
at ata 8

Bennet

Peas egg. Oreste GH
yee rohan SOE EEE
Tew yo bb

"
X51005442338,"sa
coe

17
thd EGE

ute vae
pees

"
X51005442341,"170. 00
"
X51005442344,"fened

“gn

ra

"
X51005442346,"et
4%

PERIEAGAAN 2HENG WU}
Mie Sarai ge
OS PAS at,
SANTA RAL 28,

Daatlnag er nH
Cecie fire

"
X51005442361,"rey

Morganfields” :

© Hey xd Sliby Besces #

ait Ser
car; Hi
t

~ aN

yr Wiebe aS

"
X51005442376,"f My Buza

ata IEMCAL weed [IS
yy Wie BED eS
BES
fame, Longe Dat evens Feakasl ie
Fanginsa tts! aie tates Borate
tetas agit
yin

ante

rin BET

18 LAC Fa penn
uw ‘ baa
ud Me
ter GaN et F

F pam Moll

sa ent
oo His UE Gh aRa LL
(price lhe

‘fue a Lane agen
sv et eet
ane aye

he nt Foe

Pred

"
X51005442378,"Dea t perdictnes r A eye aed

grt cating UAE PFS
a EAM mt
Aare Met

yO Po eh

CO Aaa ois

4a t thai Red Ree fq
IWS ESE

Ghd Thai ee, BAe

ean et waa

sata are 3

LHe Cramyg paAS

Maes
pia Reka Dae

awn,
"
X51005442379,"MMR IA LCP AT OAL, SEIT Cee:
ewe VEL
tet Tat i
‘Cg fallng Tne $a) eee gs et aitons
1 Bhd oat tor
. neegiign
= Fe # pert etd ot wat

fe tas
tot

ee

rat nb
Bak mania thie areswsy lath
rte toawioay
Shae THe g Ei & yus?
4 and ta En i Teta!
swntarevongh «

"
X51005442383,"CARREFOUR RESTAURAKY
HEDISTES U .
A SALAM IE ARAD 15°?
BAIEAM TAM TRIAS SAYA,
OPARAL pCR SOD

 btrba yn sabes Ina. 2 G7 36078 12

3

TOrALGty, 7

TOTAL FONTS: aco
PU-TOTAL, ¢ Wes
we: t om
SINACE crane, x 0.99
Gtry tax 0.7%
Reama cad: ow
TOTAL 43.60
CASH 13.80
CHANGE 0.00

COO te DAE KET OO TUnNeNeR &,
teen rou,
"
X51005442384,"Teena
Tava SEE
i ut
Sie Senay 5 © eis lah
Foc FG Chae 2 yota Site

1 eu

toe

ti BLGIE
Ga wba
Sut fanaa

Se pteot Wie . oa)

smi eunntca 24
OIE sta eek
shinee nao Za

4
"
X51005442386,"rip a

. SpWe we hse

HOM ene

sit parneg

pectic
thadie # UPDRS LEY Abie

eek waitin

Sancta Yas
Rak mt ATS TTA pA
cn,

om kyr
‘law woh Taibo Gi

wr

"
X51005442392,"ASHEN OED
ute
cm tetts
' + Tages EE ale
: pee
RE Becta es
oe Pr
. Sa Peg 7 Teen
e
npr ete

aM EWN La yt cathe

fim

iTeytth a
"
X51005442394,"Farry head Bengt
Faye educa

Fone #187eT Eine

lew the

ne wot
Aah

wee

BST Ste be wr

wet ama

. tana esi er
Goat

mem Cr ety

Pact as bb eee Sealer

"
X51005442397,"igh Ss, Pat
War LDS Mecha or

"
X51005444033,"BENS INDEPENDENT GROCER SON. BRO
(913144-A)
Lot 6, Jalan. Batai,
Plaza Batai, Damansara Heights
. 50490, Kuala Lumpur.
T: 03-2093 7358 | F: 03-2093 7359
(GST REG NO 000243941376)

Tax Invoice : BATO2201803120255 12/03/18

Cashler: Fatin Sy 20:29:89
Dole Pineagple Pes
8809059300708 7.90°3 23.70 2
Evian Mineral water 6x1.25L
3068320113784 53.5C°1 53.50 S
item 2, __ Total with GST @ 6% 77.20
Qry 4 Rounding 0.00
Total Saving 0.00 Total 77,20
Tender
Cash 100.00
Change 22.80
GST Anatysis Geods Tax Amount
S a 6% 50.47 3.03

Z = 0% 23.70 0.00

BIG.COM.MY
FACEBOOK.COM/THEBIGGROUP

EXCHANGE & REFUND MAY BE ALLOWED
WITHIN 3 DAYS WITH ORIGINAL TAX INVOICE
THANK YOU, PLEASE COME AGAIN

AEE

"
X51005444037,"oP Ri:PERI CHICKEN

Hando’ S. Chickenland Malaysia
Sdn Bhd
Nando's 1 Mont Kiara
Unit G-13, Ground Floor, No.1
Jin Kiara, Mont Kiara
50480 Kuala Lumpur
el: 1300-88-6555 Fax: 603-6203 6355

) Tax. Invoice
_ GST"" 1D: ogooa7492392
4 NANDOSS * ; 76 SYAFIQ 2
Chk 8660 Guest0
7 28 Har 18 18:32:36
1 DELIVERY CHG 4.00 S$
4 1/4 Chic+1sd-T @17.90 71.60 §$
4 1/4-H S
4 — CharGrill Veg(R)-TC $
GrillVeg-H
GrillVeg-H
: Griliveg-H
| GrillVeg-H .
3. 1/4 ChictIsd- T e17, 30 53.70 S$
3. «1/4-H S$
3 Coleslaw(R)-TC $
Sub Total. 129.30

Amt Due 129.30
sa teettNeaseenstaneenecceecoes ee

How was it for. you?
Your feedback is important,
80 please complete our
wu hhowvasit4you-my .net
A peal for you & 10 friends
is up. for grabs.

Survey Code :MAL025
Tac apply.

4
ere OS® ott ate, «ESSERE

. For Take Away and Delivery,
food is best consunéd-within 2 hours

GSTSummary Amount(RH) GST(RM)
S=GST @6%: 122.00 7.30
) 2=GST @0%: 0.00 0.00

"
X51005444045,"99 SPEEQ HART S/B (519537-X)
LOT P.T. 2811, JALAN ANGSA,
TAMAN BERKELEY.
4$150 KLANG, SELANGGR
S245-DESA SRI HARTAKAS
GSTID, NO > 000181747712

INVOICE HO s 18341/103/10138

> 09: 06PH 569547 19-03-18

163 SUNQUICK OREN 840Ki RAIS.40 s
sail otal Sales: (Inclusive ae 11.40
. Fae : “WL sl ieee 7
ke 00°

Seg es, my
=AaobANIRH ae
10.75"" 68

Thank You. Please come again
Keep the invoice for applicable returns

rae Or re eee

"
X51005447832,"he, ae \

i 4
5 “ereooel ‘ENTERPRISE
Conpany: Ho: $A0127959- 0
Site: 2395.
_ LOT. 485, THN LEnIBAH KERAHAT
“SLM ULU-KELAR
©. $4200. KUALA LAPUR
ae 03- 41056485
“GST o:- 000145047552

+ Invoice nunber: 60000152273

3. 39.42 litre Punp # 09

‘ FuelSave 95 Rn = 88.54 C
2.170 RH / litre

: Total RN 85. 54

Vise RH 85.54

~ Relief CST C RH 0.00

: . Total Gross CRM, 85.54
‘Shell Loyalt Card
6018840059147765

‘ Points Awarded: 39

Tine Nun OPT
3102/18 08:28 10886 09

- Diesel & Petrol RON9S5
given Relief under- Section
6 (3) (b} GST Act 2014

Thank you
Please, cone 9galn:

"
X51005447833,""" SUN WONG: KUT SON ‘BHD
Conpany Nor. 20965-W
“. Site: 1046:-
> 476-JLN SURGE. BEST.
57100 KUALA CUNPUR.
- Telephone: 03-9221345

GST Ho: ""001580630016""
“Invoice nunber: 60000483942
~ 39.54 litre Fup \ 07

: Fuel Save $5 RH 8.17 C
. 2.230 RN / lites

5 -Total: . RH 88.17
Visa RHE 88.17

* Rellef GST CRH 0.0

a Total. Gross oc RH 88.1

~ Shell Loyalty ‘Card
6018840059147765

Points Awacded: 39

Dat Tine Wun OPT
24/02/18 11:19 40278 07

Diesel & Petrol RONSS
given Relief under Section ®
6 (3) (b) GST Act 2014

Thank you
Please cone again

"
X51005447839,"RESTAURANT JIAWE!
~ JIAWE! HOUSE
002693074-K
13, JLN TASIK UTAMA 8
MEDAN NIAGA DAMA! SG BES]

57000 KL
INVOICE
Invoice :9820 Cashier: admin
POS No:1 ,
“Data : 9/3/2018 20:54:50 ’
Table : 16
TEN QTY U/P(RN) DISC(%) Ant (RAD
""-B:Boan, Bitterground Fish Head (S)
i 5.00 0.00
“""F. Hong Kong Sauteed (S)
oO 1 16.00 = 0,00 ©

Steamed Egg (S)
1 10. 00 0. 00

0. 60 0.00 - 1.20

Chinese Tea
COLD
Rico (B)

2 1.50 0. 00 3

Sub Total Before Discount | RM 65. 20

~~... Servico Chargo aw RM 0. 00
‘ Total Sales . RM 65. 20
Rounding Adjustment ©: RM 0. 00

S2TOTAL: 8% RM 65. 20.
OREO IEEE ERR I IIIT IOAN

ae . on vee

ae DAS ee A! ra i

"
